운행일자,정산사업자,노선아이디,노선명,노선번호,교통수단구분,교통수단 상세구분명,기점 정류장 아이디,종점 정류장 아이디,기점 정류장 명,종점 정류장 명,노선길이,경유정류장수
2025-06-13,마이비,43015223,석교동-북부권환승센터,2162,버스,684청주시내,4361121,4389611,석교동,북부권환승센터,59223,94
2025-06-13,마이비,43015224,오동육교종점-서운동,2163,버스,684청주시내,4374311,4377911,오동육교종점,서운동,59498,92
2025-06-13,마이비,43015225,진천터미널-상당공원,7118,버스,684청주시내,4350520,4372501,진천터미널,상당공원,29524,48
2025-06-13,마이비,43015226,양청고등학교종점-상당공원,7138,버스,684청주시내,4388031,4372501,양청고등학교종점,상당공원,17018,32
2025-06-13,마이비,43015227,신탄진종점-상당공원,4079,버스,684청주시내,4300174,4378991,정보없음,상당공원,24784,42
2025-06-13,마이비,43015228,석판종점-석판종점,105(급행),버스,685청주좌석,4304401,4304391,석판종점,석판종점,62700,52
2025-06-13,마이비,43015229,문의향교-지하상가,3114,버스,684청주시내,4365291,4376371,문의향교,지하상가,14825,32
2025-06-13,마이비,43015230,비하종점-비하종점,3132,버스,684청주시내,4373931,4366381,비하종점,비하종점,59400,122
2025-06-13,마이비,43015231,동부종점-동부종점,502(급행),버스,685청주좌석,4378311,4378311,동부종점,동부종점,57095,35
2025-06-13,마이비,43015232,비하종점-석판종점,833,버스,684청주시내,4373931,4304391,비하종점,석판종점,20913,46
2025-06-13,마이비,43015233,동부종점-서현초등학교_가,50-2(단축),버스,684청주시내,4378311,4367561,동부종점,서현초등학교_가경아이파크아파트,14319,39
2025-06-13,마이비,43015234,한국교원대학교-한국교원대학교,518,버스,684청주시내,4369471,4369481,한국교원대학교,한국교원대학교,21439,36
2025-06-13,마이비,43015235,가로수마을휴먼시-동부종점,Mar-50,버스,684청주시내,4385851,4378311,가로수마을휴먼시아,동부종점,14524,36
2025-06-13,마이비,43015236,고속버스터미널-동부종점,Apr-50,버스,684청주시내,4375551,4378311,고속버스터미널,동부종점,17450,48
2025-06-13,마이비,43015237,기점-종점,1001,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015238,기점-종점,1002,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015239,기점-종점,1003,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015240,기점-종점,1004,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015241,기점-종점,1005,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015242,기점-종점,1006,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015243,기점-종점,1007,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015244,기점-종점,1008,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015245,기점-종점,2001,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015246,기점-종점,2002,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015247,기점-종점,2003,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015248,기점-종점,2004,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015249,기점-종점,2005,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015250,기점-종점,2006,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015251,기점-종점,2007,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015252,기점-종점,3001,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015253,기점-종점,3002,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015254,기점-종점,3003,버스,981충북공영,4391461,4391481,기점,종점,661,3
2025-06-13,마이비,43015255,기점-종점,3004,버스,981충북공영,4391461,4391481,기점,종점,661,3
